Asana,Benefits
mrigi mudra,"1. This mudra stretches the finer soft muscles, tendons, and ligaments of the wrist and palms.
2. Vishnu Mudra facilitates body balance and body equilibrium. The balance between the right (Pingala) and the left (Ida) nostril is essential for good health and well-being. When the right and left brain get equal prana, there is a sense of stability and harmony.
3. This mudra stimulates the lungs and heart functioning. When the fingers are aligned in Vishnu mudra, it stimulates the ulnar nerve in the wrists. The ulnar nerve transmits signals to muscles in the forearm and hand. It is also responsible for sensation in the fourth and fifth fingers (ring and little fingers) of the hand and underside of the forearm. It is involved in carrying sensations from the hand and fingers up to the spinal cord. This nerve also controls the movement of several muscles in the arm and hand.
4. The ulnar artery that supplies blood to the hand helps the doctors check the heart's pulse rate. Pulse/heart rate is the wave of blood in the artery created by the left ventricle during a cardiac cycle. The strength or amplitude of the pulse reflects the amount of blood ejected with myocardial contraction. The normal pulse rate range is 60-100 beats per minute. This mudra helps in the efficient blood circulation to the arms and nurtures the ulnar and radial arteries.
5. Vishnu Mudra facilitates deep and conscious breathing. It is a purification gesture. Adding breath retention in pranayama with Vishnu Mudra purifies the breathing."
abhaya hridiya mudra,"1. Practicing this mudra activates the heart chakra which enables a sense of vitality and calm in its practitioners. Not only this, it can support in healing past trauma and balance strong emotions and discover our inner strength to follow our heart. The calm state of mind thereby helps in grounding the scattered feelings and thoughts and brings clarity from which clear decisions can be made.
2. Regular practice of this mudra can help in improving the circulation in the heart. From an energetic point of view, it allows heat to descend from the head through the chest down into the belly, thus regulating the healthy function of all the internal organs including heart, lungs and abdominal organs."
Viparita Shalabhasana,"1. Stretches and strengthens the muscles of the chest, shoulders, arms, legs, abdomen and the lower back
2. Tones the abdomen and lower back
3. Massages the spine and keeps the back supple
4. Helps stretch the chest
5. Improves blood circulation
6. Also works at the mind level â€“ when you take off, you can't but stay in the present moment. Even if you want to, you can't think about any problem!
7. Can be a good workout for the abs and stomach"
gandha bherudasana,"1. Stretches and strengthens the wrists at a higher level.
Stretches and strengthens the upper arm muscles like biceps and triceps.
Tones the upper arm muscles at a higher level.
2. Stretches and strengthens the neck muscles like the trapezius.
Improves the range of motion of the neck muscles, gaining flexibility.
Works on the thyroid glands improving its functions.
3. Stretches and strengthens the upper, middle and lower back muscles.
Improves the flexibility of the various back muscles
4. Opens and expands the chest cavity, along with the diaphragm muscles.
Keeps the leg muscles strong and well toned."
karandavasana,"1. Strength: The practice of Karandavasana (Himalayan Duck) requires the strength of the shoulders, arms, neck, core, and hips. Thus, with repeated practice the above mentioned body parts get strong.
2. Flexibility: Flexing the hips, neck, shoulders, forearms and knees are essential while in Karandavasana (Himalayan Duck). Hence, with practice, these get stronger and flexible preparing for more challenging poses like Devaduuta Panna Asana (Fallen Angel Pose).
3. Power and Endurance: A strong physical and mental power is what takes students to go deeper with advanced poses, just like in Himalayan Duck. The physical power of the shoulders and arms, the core muscles, and the hips, are essential for this pose. For example: to stay in balance after partially bringing the hips down, engaging the core muscles to support the hips and the lower back, engaging the shoulders and arms to support the hips to stay in balance, etc. On the other hand, the power of the mind to coordinate the breathing process, to bring focus and awareness while in balance, and to understand the body movements in order to avoid injury. Therefore, with gradual improvement with Karandavasana (Himalayan Duck), the practice will move more towards the mental power after having achieved the physical power.
4. Focus and Coordination: Apart from the physical movements of the hips, knees, and feet and ankles, the breathing process plays a great role to help coordinate the smooth flow of the body movements. Thus, focus and coordinations of both the physical body and the breathing process are essential and improves with practice.
Some of the other benefits derived with the practice of Karandavasana (Himalayan Duck) are almost similar to Vrschikasana (Scorpion Pose)."
moordhasana,"This asana brings a rich supply of blood to the brain.
It is a preliminary pose for sirshasana, as it enables the brain to adapt to the influx of blood while the crown become accustomed to
supporting the weight of the body."
dwi pada sirsasana,"1. This yoga pose helps to increase the blood flow in our body and improves the Level of hemoglobin in blood. It removes toxin foo the blood and other benefits with proper blood flow.
2. This yoga pose is very good for the people who are suffering with a problem called nervous trembling.
3. Dwi Pada Srisasana actives the heat inside your body and helps your digestion to work properly.
4. This yoga pose is best to make your body more flexible.
5. This yoga pose is very good for people suffering from diabeties and also being used as a treatment in many yoga teachers training in India.
6. As good amount of proper breathe is included in this pose and thus helps to treat lung diseases and sinuses."
swarga dwijasana,"1. This pose strengthens the legs and core. It stretches the arms and opens the hips and hamstrings.
2. It also improves balance. It's not a position you will often find yourself in daily life, but you will be more ready to meet any balance challenges that come your way.
3. Traditionally, it is said to open the sacral chakra and the root chakra."
ashwathasana,"1) The movement of gases are regulated. Oxygen enters the body in sufficient quantity and polluted air comes out of the body.
2) This Ashwathasa asana provides beauty and health to the body.
3) By performing this Ashwathasana asana, all the diseases goes away from the body."
Yastikasana,"1) It aids better circulation of blood.
2) Tones the usually relaxed abdominal and pelvic muscles.
3) The thoracic area opens up and improves breathing
4) Helps in correcting the faulty posture of rounded or drooping shoulders"
nataprathanasana,"1) It creates flexibility of your hip and knee joints.
2) The muscles of your legs are strengthened.
3) It enhances the balancing capacity of your body.
4) It is excellent for womenâ€™s health.
5) It strengthens your lower back muscles.

Therapeutic

1) It helps relieve flat feet pain.
2) It helps to maintain spinal curvature.

Psychological

1) It brings about a balanced state of mind.
2) It brings your mind to the present moment.
3) It brings about a sense of humility and gratitude.
4) It creates awareness and concentration"
Chakki Chalanasana,"1) A good preventive for sciatica
2) Tones the back, abs and arm muscles
3) Opens up the chest and groin
4) Tones the uterine muscles in females, so it is very useful in preventing painful cycles if practiced regularly
5) Consistent practice helps reduce abdominal fat"
ushtrasana,"1) Improves digestion.
2) Stretches and opens the front of the body. It also strengthens the back and shoulders.
3) Relieves the body of lower back ache.
4) Improves flexibility of the spine and also improves posture.
5) Helps overcome menstrual discomfort."
talasana,"1) Clears up Congestion: The stretch of the spinal bone promotes proper growth and clears up congestion of the spinal nerves at the points at which they emerge from the spinal column.
2) Improves Digestion: It stretches the abdominal muscles and hence tones these muscles improving digestion.
3) mImproves Pulmonary Functions: The chest is expanded thus giving room for clear passage for breathing from the diaphragm. This in turn cures asthma and heavy breathing.
4) Stimulates Nervous System: Helps to give control over muscular movement and stimulates the entire nervous system of the body."
padma mudra,"1) Inspires purity and perseverance by representing the lotus flower floating above the muddy waters of desire, fear, and attachment
2) Reminds you of the natural beauty of your soul
3) Calms the mind"
brahmandasana,"1) Cosmic Egg Yoga Pose or Brahmandasana is more challenging than Wind Release Pose since the feet are off the ground, and so it strengthens the pelvic area.
2) Core muscles are engaged all the time and hence, it improves the core strength and prepares for other poses like Navasana.
3) Holding the pose for a longer period of time calms the mind and balances the emotions.
4) This pose is beneficial, and can be practiced by both kids and teenagers."
Jala Neti ( Shatkarma ),"1) Neti helps to maintain the nasal hygiene by removing the dirt and bacteria trapped along with the mucus in the nostrils.
2) Neti de-sensitizes the sensitive tissues inside the nose, which can alleviate rhinitis, allergies and some asthmas.
3) Several health problems like sinusitis, migraine, headaches, ear problems like tinitis and middle ear infections can be reduced by doing Neti.
4) It can alleviate upper respiratory complaints, sore throats, tonsils and dry coughs.
5) It can clear the eye ducts and improve vision."
sheetkrama kapalbhati,"1) Sheetkrama Kapalbhati cleans the mucous from the nasal cavity and throat.
2) In Gheranda Samhita, it is mentioned that this practice removes the wrinkles of the face and makes the face glow. It also mentions that the person who practices Sheetkrama kapalbhati can overcome disease and old age.
3) It removes the Kapha Dosha (as per Ayurveda) and gives good health and vigour to the body.
4) Spiritual benefits include activating some energy centers in the brain which have trigger points in the nasopharynx. It is said to activate the Bindu Chakra at the back of the head. When this center is awakened, nectar or Amrit flows and makes the body immortal."
vastra dhauti,"1) Vastra dhauti removes impurities from the intestinal tract, thereby detoxifying the stomach and esophagus regions.
2) It helps to remove gas, acidity, indigestion and enlargement of spleen.
3) It helps to relieve asthma, bronchitis, cough and other â€˜Kaphaâ€™ or phlegm related problems."
trataka,"1) Trataka is good for the eyes. It strengthens the muscles surrounding the eyes and helps to get rid of mild eye problems like short sightedness.
2) Trataka removes insomnia. Practicing this few minutes before sleep can improve the quality of sleep.
3) Trataka removes distractions in the mind. It can make the mind calm and steady, thereby increasing the power of concentration.
4) It improves mental and nervous stability"
somachandrasana,"1. Stretches and Strengthens: With this hip opener, in Nectar Of The Moon Pose I, the hamstrings, quadriceps, psoas, core, and gluteus maximus are stretched and strengthened. It helps with the flexibility of these muscles supporting the hips for further challenging poses.
2 Heart Opener: The stretching of the arms and shoulders helps expand the chest and open the heart center.
3. Grounding: Since Nectar Of The Moon Pose I is a partial lunge with a gentle twist, it helps to connect deeper to the ground, rooting a deeper sensation of being connected to the earth.
4. Spine and Lower Back: This pose elongates the spine and strengthens the base of the spine while also using the core muscles in the posture, for better support.
5. Awareness, Focus and Balance: Balancing on arms and hips needs awareness that helps with focus and balance.This focus and balance will further help with more challenging yoga poses.
6. Tones: The deep stretching of the muscles like the hamstrings, quadriceps, gluteus maximus, and core muscles tones the body. The glutes have a great role in the movements of the lower limbs, hence the stronger the buttock muscles the stronger and well toned legs. These toned buttock muscles also supports the abdominal muscles keeping them toned."
Gherandasana ,"1. Gherandasana Ii benefits the following muscles and hence can be included in yoga sequences with the corresponding muscle(s) focus:
Arms and Shoulders
Biceps and Triceps
Core (Abs)
2. Stretches the entire front of the body, ankles, thighs and groins, abdomen and chest, and throat, and deep hip flexors (psoas). Strengthens the back muscles."
kapilasana,"1. Helps in stretching legs, hamstrings, arms, chest, back, and shoulder muscles
2. Strengthens the muscles by improving blood flow
3. Helps in learning how to cultivate a calm and chaos-free mind
4. Improves the meditative state
5. Maintains the five chakras of muladhara, svadisthana, manipura, anahata and visuddha
6. Effectively improves bodyâ€™s stability and coordination"
omkarasana,"It relieves the pain of hands and feet( It is helpful in rheumatism). It gives strength to liver and wrists.
When we will practice this yoga , our hand will increase strength . This yoga removes us our hand leg pain . It helps us nerve . It can comfortable for all work .It helps us our mind satifatustion . It increase our body growth . It helps us breath . It increase our meditation . It increase us our eye power to strength."
kashyapawsana,"1. This asana provides a deep muscular massage to the abdomen, toning the digestive organs.
2. Manipura chakra and samana are activated.
3. A sense of balance and concentration is developed.
4. This asana alleviates disorders of the large intestine and stimulates the digestive fire."
bhunamanasana,"1. Bhunamanasana stretches and improves the flexibility of the shoulders, spine, and lower back, stimulating the nerves.
2. This asana strengthens and improves the flexibility of the lumbar and thoracic parts of the spine while maintaining its mobility.
3. Regular practice of the spinal twist prostration pose can correct the alignment of the hip joints.
4. This asana is also believed to improve a sluggish and fatty liver."
Mandalasana,"1) Stretches, Strengthens and Lengthens: Mandalasana (Circle Pose) have the arms and head in a fixed position, but with the lower body being active creating a circle with the feet. This dynamic movement engages the muscles of the legs, psoas, pelvis, core, and back. However, while these muscles stretch, lengthen and contract, the main strength comes from the muscles of the neck, shoulders, arms, and upper back. In the process the spine remains active, moving in all directions.

2) Flexibility and Range of Motion: Circle Pose involves the lower body rotation, this works on the flexibility of the spine, neck, hips, shoulders, knees and ankles. The 360 degree range of motion of the lower body is only possible with the flexible muscles mentioned above, however, with time, these very involved muscles gain better range of motion, making the practice of Mandalasana even more smooth and comfortable.

3) Awareness, Balance and Emotion: In addition to the physical benefits, the practice of Mandalasana impacts the body at the emotional level. Apart from the strength and flexibility of the involved muscles and joints, the awareness of breath-body-mind connections plays a very important role. With this awareness, students would be safe from any injury during the dynamic movement. When the breath-body-mind is in sync, students will have better control over their thoughts during this practice, and with time, the same control can be achieved for activities related to the day (when off the mat). When the physical body is under control, there is a sense of sthiram and sukham that helps set the mind towards emotional well being too. It promotes blood circulation to the brain thereby giving the mind better clarity. Performance of this pose requires a greater amount of concentration; this will improve concentration and promote mental balance."
